hexmap,abbr_usps,abbr_gpo,abbr_ap,abbr_short,abbr_long,name,fips,geo_type,X,Y,cX,cY
usa59,AZ,Ariz.,Ariz.,Arz.,Ariz.,Arizona,04,state,139.448637,-180,139.44863700000002,-200
usa59,AR,Ark.,Ark.,Ark.,Arkan.,Arkansas,05,state,226.051178,-150,226.051178,-169.99999999999997
usa59,AR,Ark.,Ark.,Ark.,Arkan.,Arkansas,05,state,243.371686,-160,226.051178,-169.99999999999997
usa59,AR,Ark.,Ark.,Ark.,Arkan.,Arkansas,05,state,243.371686,-180,226.051178,-169.99999999999997
usa59,AR,Ark.,Ark.,Ark.,Arkan.,Arkansas,05,state,226.051178,-190,226.051178,-169.99999999999997
usa59,AR,Ark.,Ark.,Ark.,Arkan.,Arkansas,05,state,208.73067,-180,226.051178,-169.99999999999997
usa59,AR,Ark.,Ark.,Ark.,Arkan.,Arkansas,05,state,208.73067,-160,226.051178,-169.99999999999997
usa59,AR,Ark.,Ark.,Ark.,Arkan.,Arkansas,05,state,226.051178,-150,226.051178,-169.99999999999997
usa59,CA,Calif.,Calif.,Cal.,Calif.,California,06,state,87.4871131,-150,87.4871130111111,-169.99999999999994
usa59,CA,Calif.,Calif.,Cal.,Calif.,California,06,state,104.807621,-160,87.4871130111111,-169.99999999999994
usa59,CA,Calif.,Calif.,Cal.,Calif.,California,06,state,104.807621,-180,87.4871130111111,-169.99999999999994
usa59,CA,Calif.,Calif.,Cal.,Calif.,California,06,state,87.4871131,-190,87.4871130111111,-169.99999999999994
usa59,CA,Calif.,Calif.,Cal.,Calif.,California,06,state,70.166605,-180,87.4871130111111,-169.99999999999994
usa59,CA,Calif.,Calif.,Cal.,Calif.,California,06,state,70.166605,-160,87.4871130111111,-169.99999999999994
usa59,CA,Calif.,Calif.,Cal.,Calif.,California,06,state,87.4871131,-150,87.4871130111111,-169.99999999999994
usa59,CO,Colo.,Colo.,Col.,Colo.,Colorado,08,state,139.448637,-120,139.44863700000002,-140
usa59,CO,Colo.,Colo.,Col.,Colo.,Colorado,08,state,156.769145,-130,139.44863700000002,-140
usa59,CO,Colo.,Colo.,Col.,Colo.,Colorado,08,state,156.769145,-150,139.44863700000002,-140
usa59,CO,Colo.,Colo.,Col.,Colo.,Colorado,08,state,139.448637,-160,139.44863700000002,-140
usa59,CO,Colo.,Colo.,Col.,Colo.,Colorado,08,state,122.128129,-150,139.44863700000002,-140
usa59,CO,Colo.,Colo.,Col.,Colo.,Colorado,08,state,122.128129,-130,139.44863700000002,-140
usa59,CO,Colo.,Colo.,Col.,Colo.,Colorado,08,state,139.448637,-120,139.44863700000002,-140
usa59,CT,Conn.,Conn.,Con.,Conn.,Connecticut,09,state,399.256258,-90,399.256258,-109.99999999999999
usa59,CT,Conn.,Conn.,Con.,Conn.,Connecticut,09,state,416.576766,-100,399.256258,-109.99999999999999
usa59,CT,Conn.,Conn.,Con.,Conn.,Connecticut,09,state,416.576766,-120,399.256258,-109.99999999999999
usa59,CT,Conn.,Conn.,Con.,Conn.,Connecticut,09,state,399.256258,-130,399.256258,-109.99999999999999
usa59,CT,Conn.,Conn.,Con.,Conn.,Connecticut,09,state,381.93575,-120,399.256258,-109.99999999999999
usa59,CT,Conn.,Conn.,Con.,Conn.,Connecticut,09,state,381.93575,-100,399.256258,-109.99999999999999
usa59,CT,Conn.,Conn.,Con.,Conn.,Connecticut,09,state,399.256258,-90,399.256258,-109.99999999999999
usa59,DE,Del.,Del.,Del.,Dela.,Delaware,10,state,381.93575,-120,381.93575000000004,-140.00000000000003
usa59,DE,Del.,Del.,Del.,Dela.,Delaware,10,state,399.256258,-130,381.93575000000004,-140.00000000000003
usa59,DE,Del.,Del.,Del.,Dela.,Delaware,10,state,399.256258,-150,381.93575000000004,-140.00000000000003
usa59,DE,Del.,Del.,Del.,Dela.,Delaware,10,state,381.93575,-160,381.93575000000004,-140.00000000000003
usa59,DE,Del.,Del.,Del.,Dela.,Delaware,10,state,364.615242,-150,381.93575000000004,-140.00000000000003
usa59,DE,Del.,Del.,Del.,Dela.,Delaware,10,state,364.615242,-130,381.93575000000004,-140.00000000000003
usa59,DE,Del.,Del.,Del.,Dela.,Delaware,10,state,381.93575,-120,381.93575000000004,-140.00000000000003
usa59,FL,Fla.,Fla.,Fla.,Flor.,Florida,12,state,295.33321,-210,295.33321,-230
usa59,FL,Fla.,Fla.,Fla.,Flor.,Florida,12,state,312.653718,-220,295.33321,-230
usa59,FL,Fla.,Fla.,Fla.,Flor.,Florida,12,state,312.653718,-240,295.33321,-230
usa59,FL,Fla.,Fla.,Fla.,Flor.,Florida,12,state,295.33321,-250,295.33321,-230
usa59,FL,Fla.,Fla.,Fla.,Flor.,Florida,12,state,278.012702,-240,295.33321,-230
usa59,FL,Fla.,Fla.,Fla.,Flor.,Florida,12,state,278.012702,-220,295.33321,-230
usa59,FL,Fla.,Fla.,Fla.,Flor.,Florida,12,state,295.33321,-210,295.33321,-230
usa59,GA,Ga.,Ga.,Ga.,Georg.,Georgia,13,state,312.653718,-180,312.653718,-200.00000000000003
usa59,GA,Ga.,Ga.,Ga.,Georg.,Georgia,13,state,329.974226,-190,312.653718,-200.00000000000003
usa59,GA,Ga.,Ga.,Ga.,Georg.,Georgia,13,state,329.974226,-210,312.653718,-200.00000000000003
usa59,GA,Ga.,Ga.,Ga.,Georg.,Georgia,13,state,312.653718,-220,312.653718,-200.00000000000003
usa59,GA,Ga.,Ga.,Ga.,Georg.,Georgia,13,state,295.33321,-210,312.653718,-200.00000000000003
usa59,GA,Ga.,Ga.,Ga.,Georg.,Georgia,13,state,295.33321,-190,312.653718,-200.00000000000003
usa59,GA,Ga.,Ga.,Ga.,Georg.,Georgia,13,state,312.653718,-180,312.653718,-200.00000000000003
usa59,HI,Hawaii,Hawaii,Haw.,Hawaii,Hawaii,15,state,70.166605,-240,70.16660499999999,-260.00000000000006
usa59,HI,Hawaii,Hawaii,Haw.,Hawaii,Hawaii,15,state,87.4871131,-250,70.16660499999999,-260.00000000000006
usa59,HI,Hawaii,Hawaii,Haw.,Hawaii,Hawaii,15,state,87.4871131,-270,70.16660499999999,-260.00000000000006
usa59,HI,Hawaii,Hawaii,Haw.,Hawaii,Hawaii,15,state,70.166605,-280,70.16660499999999,-260.00000000000006
usa59,HI,Hawaii,Hawaii,Haw.,Hawaii,Hawaii,15,state,52.8460969,-270,70.16660499999999,-260.00000000000006
usa59,HI,Hawaii,Hawaii,Haw.,Hawaii,Hawaii,15,state,52.8460969,-250,70.16660499999999,-260.00000000000006
usa59,HI,Hawaii,Hawaii,Haw.,Hawaii,Hawaii,15,state,70.166605,-240,70.16660499999999,-260.00000000000006
usa59,ID,Idaho,Idaho,Ida.,Idaho,Idaho,16,state,87.4871131,-90,87.4871130111111,-110
usa59,ID,Idaho,Idaho,Ida.,Idaho,Idaho,16,state,104.807621,-100,87.4871130111111,-110
usa59,ID,Idaho,Idaho,Ida.,Idaho,Idaho,16,state,104.807621,-120,87.4871130111111,-110
usa59,ID,Idaho,Idaho,Ida.,Idaho,Idaho,16,state,87.4871131,-130,87.4871130111111,-110
usa59,ID,Idaho,Idaho,Ida.,Idaho,Idaho,16,state,70.166605,-120,87.4871130111111,-110
usa59,ID,Idaho,Idaho,Ida.,Idaho,Idaho,16,state,70.166605,-100,87.4871130111111,-110
usa59,ID,Idaho,Idaho,Ida.,Idaho,Idaho,16,state,87.4871131,-90,87.4871130111111,-110
usa59,IL,Ill.,Ill.,Ill.,Illin.,Illinois,17,state,226.051178,-90,226.051178,-109.99999999999999
usa59,IL,Ill.,Ill.,Ill.,Illin.,Illinois,17,state,243.371686,-100,226.051178,-109.99999999999999
usa59,IL,Ill.,Ill.,Ill.,Illin.,Illinois,17,state,243.371686,-120,226.051178,-109.99999999999999
usa59,IL,Ill.,Ill.,Ill.,Illin.,Illinois,17,state,226.051178,-130,226.051178,-109.99999999999999
usa59,IL,Ill.,Ill.,Ill.,Illin.,Illinois,17,state,208.73067,-120,226.051178,-109.99999999999999
usa59,IL,Ill.,Ill.,Ill.,Illin.,Illinois,17,state,208.73067,-100,226.051178,-109.99999999999999
usa59,IL,Ill.,Ill.,Ill.,Illin.,Illinois,17,state,226.051178,-90,226.051178,-109.99999999999999
usa59,IN,Ind.,Ind.,Ind.,Indi.,Indiana,18,state,260.692194,-90,260.692194,-110.00000000000001
usa59,IN,Ind.,Ind.,Ind.,Indi.,Indiana,18,state,278.012702,-100,260.692194,-110.00000000000001
usa59,IN,Ind.,Ind.,Ind.,Indi.,Indiana,18,state,278.012702,-120,260.692194,-110.00000000000001
usa59,IN,Ind.,Ind.,Ind.,Indi.,Indiana,18,state,260.692194,-130,260.692194,-110.00000000000001
usa59,IN,Ind.,Ind.,Ind.,Indi.,Indiana,18,state,243.371686,-120,260.692194,-110.00000000000001
usa59,IN,Ind.,Ind.,Ind.,Indi.,Indiana,18,state,243.371686,-100,260.692194,-110.00000000000001
usa59,IN,Ind.,Ind.,Ind.,Indi.,Indiana,18,state,260.692194,-90,260.692194,-110.00000000000001
usa59,IA,Iowa,Iowa,Iowa,Iowa,Iowa,19,state,191.410162,-90,191.41016155555556,-110.00000000000001
usa59,IA,Iowa,Iowa,Iowa,Iowa,Iowa,19,state,208.73067,-100,191.41016155555556,-110.00000000000001
usa59,IA,Iowa,Iowa,Iowa,Iowa,Iowa,19,state,208.73067,-120,191.41016155555556,-110.00000000000001
usa59,IA,Iowa,Iowa,Iowa,Iowa,Iowa,19,state,191.410162,-130,191.41016155555556,-110.00000000000001
usa59,IA,Iowa,Iowa,Iowa,Iowa,Iowa,19,state,174.089653,-120,191.41016155555556,-110.00000000000001
usa59,IA,Iowa,Iowa,Iowa,Iowa,Iowa,19,state,174.089653,-100,191.41016155555556,-110.00000000000001
usa59,IA,Iowa,Iowa,Iowa,Iowa,Iowa,19,state,191.410162,-90,191.41016155555556,-110.00000000000001
usa59,KS,Kans.,Kan.,Kan.,Kansas,Kansas,20,state,191.410162,-150,191.41016155555556,-170.00000000000003
usa59,KS,Kans.,Kan.,Kan.,Kansas,Kansas,20,state,208.73067,-160,191.41016155555556,-170.00000000000003
usa59,KS,Kans.,Kan.,Kan.,Kansas,Kansas,20,state,208.73067,-180,191.41016155555556,-170.00000000000003
usa59,KS,Kans.,Kan.,Kan.,Kansas,Kansas,20,state,191.410162,-190,191.41016155555556,-170.00000000000003
usa59,KS,Kans.,Kan.,Kan.,Kansas,Kansas,20,state,174.089653,-180,191.41016155555556,-170.00000000000003
usa59,KS,Kans.,Kan.,Kan.,Kansas,Kansas,20,state,174.089653,-160,191.41016155555556,-170.00000000000003
usa59,KS,Kans.,Kan.,Kan.,Kansas,Kansas,20,state,191.410162,-150,191.41016155555556,-170.00000000000003
usa59,KY,Ky.,Ky.,Ky.,Kent.,Kentucky,21,state,243.371686,-120,243.371686,-140.00000000000003
usa59,KY,Ky.,Ky.,Ky.,Kent.,Kentucky,21,state,260.692194,-130,243.371686,-140.00000000000003
usa59,KY,Ky.,Ky.,Ky.,Kent.,Kentucky,21,state,260.692194,-150,243.371686,-140.00000000000003
usa59,KY,Ky.,Ky.,Ky.,Kent.,Kentucky,21,state,243.371686,-160,243.371686,-140.00000000000003
usa59,KY,Ky.,Ky.,Ky.,Kent.,Kentucky,21,state,226.051178,-150,243.371686,-140.00000000000003
usa59,KY,Ky.,Ky.,Ky.,Kent.,Kentucky,21,state,226.051178,-130,243.371686,-140.00000000000003
usa59,KY,Ky.,Ky.,Ky.,Kent.,Kentucky,21,state,243.371686,-120,243.371686,-140.00000000000003
usa59,LA,La.,La.,La.,Louis.,Louisiana,22,state,208.73067,-180,208.73067,-200.00000000000003
usa59,LA,La.,La.,La.,Louis.,Louisiana,22,state,226.051178,-190,208.73067,-200.00000000000003
usa59,LA,La.,La.,La.,Louis.,Louisiana,22,state,226.051178,-210,208.73067,-200.00000000000003
usa59,LA,La.,La.,La.,Louis.,Louisiana,22,state,208.73067,-220,208.73067,-200.00000000000003
usa59,LA,La.,La.,La.,Louis.,Louisiana,22,state,191.410162,-210,208.73067,-200.00000000000003
usa59,LA,La.,La.,La.,Louis.,Louisiana,22,state,191.410162,-190,208.73067,-200.00000000000003
usa59,LA,La.,La.,La.,Louis.,Louisiana,22,state,208.73067,-180,208.73067,-200.00000000000003
usa59,ME,Maine,Maine,Me.,Maine,Maine,23,state,416.576766,0,416.5767664444444,-19.999999999999996
usa59,ME,Maine,Maine,Me.,Maine,Maine,23,state,433.897275,-10,416.5767664444444,-19.999999999999996
usa59,ME,Maine,Maine,Me.,Maine,Maine,23,state,433.897275,-30,416.5767664444444,-19.999999999999996
usa59,ME,Maine,Maine,Me.,Maine,Maine,23,state,416.576766,-40,416.5767664444444,-19.999999999999996
usa59,ME,Maine,Maine,Me.,Maine,Maine,23,state,399.256258,-30,416.5767664444444,-19.999999999999996
usa59,ME,Maine,Maine,Me.,Maine,Maine,23,state,399.256258,-10,416.5767664444444,-19.999999999999996
usa59,ME,Maine,Maine,Me.,Maine,Maine,23,state,416.576766,0,416.5767664444444,-19.999999999999996
usa59,MD,Md.,Md.,Md.,Mary.,Maryland,24,state,347.294734,-120,347.29473399999995,-140
usa59,MD,Md.,Md.,Md.,Mary.,Maryland,24,state,364.615242,-130,347.29473399999995,-140
usa59,MD,Md.,Md.,Md.,Mary.,Maryland,24,state,364.615242,-150,347.29473399999995,-140
usa59,MD,Md.,Md.,Md.,Mary.,Maryland,24,state,347.294734,-160,347.29473399999995,-140
usa59,MD,Md.,Md.,Md.,Mary.,Maryland,24,state,329.974226,-150,347.29473399999995,-140
usa59,MD,Md.,Md.,Md.,Mary.,Maryland,24,state,329.974226,-130,347.29473399999995,-140
usa59,MD,Md.,Md.,Md.,Mary.,Maryland,24,state,347.294734,-120,347.29473399999995,-140
usa59,MA,Mass.,Mass.,Mas.,Mass.,Massachusetts,25,state,381.93575,-60,381.93575000000004,-80.00000000000001
usa59,MA,Mass.,Mass.,Mas.,Mass.,Massachusetts,25,state,399.256258,-70,381.93575000000004,-80.00000000000001
usa59,MA,Mass.,Mass.,Mas.,Mass.,Massachusetts,25,state,399.256258,-90,381.93575000000004,-80.00000000000001
usa59,MA,Mass.,Mass.,Mas.,Mass.,Massachusetts,25,state,381.93575,-100,381.93575000000004,-80.00000000000001
usa59,MA,Mass.,Mass.,Mas.,Mass.,Massachusetts,25,state,364.615242,-90,381.93575000000004,-80.00000000000001
usa59,MA,Mass.,Mass.,Mas.,Mass.,Massachusetts,25,state,364.615242,-70,381.93575000000004,-80.00000000000001
usa59,MA,Mass.,Mass.,Mas.,Mass.,Massachusetts,25,state,381.93575,-60,381.93575000000004,-80.00000000000001
usa59,MI,Mich.,Mich.,Mic.,Mich.,Michigan,26,state,278.012702,-60,278.012702,-80.00000000000001
usa59,MI,Mich.,Mich.,Mic.,Mich.,Michigan,26,state,295.33321,-70,278.012702,-80.00000000000001
usa59,MI,Mich.,Mich.,Mic.,Mich.,Michigan,26,state,295.33321,-90,278.012702,-80.00000000000001
usa59,MI,Mich.,Mich.,Mic.,Mich.,Michigan,26,state,278.012702,-100,278.012702,-80.00000000000001
usa59,MI,Mich.,Mich.,Mic.,Mich.,Michigan,26,state,260.692194,-90,278.012702,-80.00000000000001
usa59,MI,Mich.,Mich.,Mic.,Mich.,Michigan,26,state,260.692194,-70,278.012702,-80.00000000000001
usa59,MI,Mich.,Mich.,Mic.,Mich.,Michigan,26,state,278.012702,-60,278.012702,-80.00000000000001
usa59,MN,Minn.,Minn.,Min.,Minn.,Minnesota,27,state,174.089653,-60,174.08965344444448,-80
usa59,MN,Minn.,Minn.,Min.,Minn.,Minnesota,27,state,191.410162,-70,174.08965344444448,-80
usa59,MN,Minn.,Minn.,Min.,Minn.,Minnesota,27,state,191.410162,-90,174.08965344444448,-80
usa59,MN,Minn.,Minn.,Min.,Minn.,Minnesota,27,state,174.089653,-100,174.08965344444448,-80
usa59,MN,Minn.,Minn.,Min.,Minn.,Minnesota,27,state,156.769145,-90,174.08965344444448,-80
usa59,MN,Minn.,Minn.,Min.,Minn.,Minnesota,27,state,156.769145,-70,174.08965344444448,-80
usa59,MN,Minn.,Minn.,Min.,Minn.,Minnesota,27,state,174.089653,-60,174.08965344444448,-80
usa59,MS,Miss.,Miss.,Mis.,Miss.,Mississippi,28,state,243.371686,-180,243.371686,-200.00000000000003
usa59,MS,Miss.,Miss.,Mis.,Miss.,Mississippi,28,state,260.692194,-190,243.371686,-200.00000000000003
usa59,MS,Miss.,Miss.,Mis.,Miss.,Mississippi,28,state,260.692194,-210,243.371686,-200.00000000000003
usa59,MS,Miss.,Miss.,Mis.,Miss.,Mississippi,28,state,243.371686,-220,243.371686,-200.00000000000003
usa59,MS,Miss.,Miss.,Mis.,Miss.,Mississippi,28,state,226.051178,-210,243.371686,-200.00000000000003
usa59,MS,Miss.,Miss.,Mis.,Miss.,Mississippi,28,state,226.051178,-190,243.371686,-200.00000000000003
usa59,MS,Miss.,Miss.,Mis.,Miss.,Mississippi,28,state,243.371686,-180,243.371686,-200.00000000000003
usa59,MO,Mo.,Mo.,Mo.,Mouri.,Missouri,29,state,208.73067,-120,208.73067,-140.00000000000003
usa59,MO,Mo.,Mo.,Mo.,Mouri.,Missouri,29,state,226.051178,-130,208.73067,-140.00000000000003
usa59,MO,Mo.,Mo.,Mo.,Mouri.,Missouri,29,state,226.051178,-150,208.73067,-140.00000000000003
usa59,MO,Mo.,Mo.,Mo.,Mouri.,Missouri,29,state,208.73067,-160,208.73067,-140.00000000000003
usa59,MO,Mo.,Mo.,Mo.,Mouri.,Missouri,29,state,191.410162,-150,208.73067,-140.00000000000003
usa59,MO,Mo.,Mo.,Mo.,Mouri.,Missouri,29,state,191.410162,-130,208.73067,-140.00000000000003
usa59,MO,Mo.,Mo.,Mo.,Mouri.,Missouri,29,state,208.73067,-120,208.73067,-140.00000000000003
usa59,MT,Mont.,Mont.,Mnt.,Mont.,Montana,30,state,104.807621,-60,104.80762104444442,-80
usa59,MT,Mont.,Mont.,Mnt.,Mont.,Montana,30,state,122.128129,-70,104.80762104444442,-80
usa59,MT,Mont.,Mont.,Mnt.,Mont.,Montana,30,state,122.128129,-90,104.80762104444442,-80
usa59,MT,Mont.,Mont.,Mnt.,Mont.,Montana,30,state,104.807621,-100,104.80762104444442,-80
usa59,MT,Mont.,Mont.,Mnt.,Mont.,Montana,30,state,87.4871131,-90,104.80762104444442,-80
usa59,MT,Mont.,Mont.,Mnt.,Mont.,Montana,30,state,87.4871131,-70,104.80762104444442,-80
usa59,MT,Mont.,Mont.,Mnt.,Mont.,Montana,30,state,104.807621,-60,104.80762104444442,-80
usa59,NE,Nebr.,Neb.,Neb.,Nebr.,Nebraska,31,state,174.089653,-120,174.08965344444448,-140
usa59,NE,Nebr.,Neb.,Neb.,Nebr.,Nebraska,31,state,191.410162,-130,174.08965344444448,-140
usa59,NE,Nebr.,Neb.,Neb.,Nebr.,Nebraska,31,state,191.410162,-150,174.08965344444448,-140
usa59,NE,Nebr.,Neb.,Neb.,Nebr.,Nebraska,31,state,174.089653,-160,174.08965344444448,-140
usa59,NE,Nebr.,Neb.,Neb.,Nebr.,Nebraska,31,state,156.769145,-150,174.08965344444448,-140
usa59,NE,Nebr.,Neb.,Neb.,Nebr.,Nebraska,31,state,156.769145,-130,174.08965344444448,-140
usa59,NE,Nebr.,Neb.,Neb.,Nebr.,Nebraska,31,state,174.089653,-120,174.08965344444448,-140
usa59,NV,Nev.,Nev.,Nev.,Nevada,Nevada,32,state,104.807621,-120,104.80762104444442,-139.99999999999997
usa59,NV,Nev.,Nev.,Nev.,Nevada,Nevada,32,state,122.128129,-130,104.80762104444442,-139.99999999999997
usa59,NV,Nev.,Nev.,Nev.,Nevada,Nevada,32,state,122.128129,-150,104.80762104444442,-139.99999999999997
usa59,NV,Nev.,Nev.,Nev.,Nevada,Nevada,32,state,104.807621,-160,104.80762104444442,-139.99999999999997
usa59,NV,Nev.,Nev.,Nev.,Nevada,Nevada,32,state,87.4871131,-150,104.80762104444442,-139.99999999999997
usa59,NV,Nev.,Nev.,Nev.,Nevada,Nevada,32,state,87.4871131,-130,104.80762104444442,-139.99999999999997
usa59,NV,Nev.,Nev.,Nev.,Nevada,Nevada,32,state,104.807621,-120,104.80762104444442,-139.99999999999997
usa59,NH,N.H.,N.H.,N.H.,N.Ham.,New Hampshire,33,state,399.256258,-30,399.256258,-50
usa59,NH,N.H.,N.H.,N.H.,N.Ham.,New Hampshire,33,state,416.576766,-40,399.256258,-50
usa59,NH,N.H.,N.H.,N.H.,N.Ham.,New Hampshire,33,state,416.576766,-60,399.256258,-50
usa59,NH,N.H.,N.H.,N.H.,N.Ham.,New Hampshire,33,state,399.256258,-70,399.256258,-50
usa59,NH,N.H.,N.H.,N.H.,N.Ham.,New Hampshire,33,state,381.93575,-60,399.256258,-50
usa59,NH,N.H.,N.H.,N.H.,N.Ham.,New Hampshire,33,state,381.93575,-40,399.256258,-50
usa59,NH,N.H.,N.H.,N.H.,N.Ham.,New Hampshire,33,state,399.256258,-30,399.256258,-50
usa59,NJ,N.J.,N.J.,N.J.,N.Jer.,New Jersey,34,state,364.615242,-90,364.615242,-110.00000000000001
usa59,NJ,N.J.,N.J.,N.J.,N.Jer.,New Jersey,34,state,381.93575,-100,364.615242,-110.00000000000001
usa59,NJ,N.J.,N.J.,N.J.,N.Jer.,New Jersey,34,state,381.93575,-120,364.615242,-110.00000000000001
usa59,NJ,N.J.,N.J.,N.J.,N.Jer.,New Jersey,34,state,364.615242,-130,364.615242,-110.00000000000001
usa59,NJ,N.J.,N.J.,N.J.,N.Jer.,New Jersey,34,state,347.294734,-120,364.615242,-110.00000000000001
usa59,NJ,N.J.,N.J.,N.J.,N.Jer.,New Jersey,34,state,347.294734,-100,364.615242,-110.00000000000001
usa59,NJ,N.J.,N.J.,N.J.,N.Jer.,New Jersey,34,state,364.615242,-90,364.615242,-110.00000000000001
usa59,NM,N. Mex.,N.M.,N.M.,N.Mex.,New Mexico,35,state,156.769145,-150,156.769145,-170
usa59,NM,N. Mex.,N.M.,N.M.,N.Mex.,New Mexico,35,state,174.089653,-160,156.769145,-170
usa59,NM,N. Mex.,N.M.,N.M.,N.Mex.,New Mexico,35,state,174.089653,-180,156.769145,-170
usa59,NM,N. Mex.,N.M.,N.M.,N.Mex.,New Mexico,35,state,156.769145,-190,156.769145,-170
usa59,NM,N. Mex.,N.M.,N.M.,N.Mex.,New Mexico,35,state,139.448637,-180,156.769145,-170
usa59,NM,N. Mex.,N.M.,N.M.,N.Mex.,New Mexico,35,state,139.448637,-160,156.769145,-170
usa59,NM,N. Mex.,N.M.,N.M.,N.Mex.,New Mexico,35,state,156.769145,-150,156.769145,-170
usa59,NY,N.Y.,N.Y.,N.Y.,N.York,New York,36,state,347.294734,-60,347.29473399999995,-80.00000000000001
usa59,NY,N.Y.,N.Y.,N.Y.,N.York,New York,36,state,364.615242,-70,347.29473399999995,-80.00000000000001
usa59,NY,N.Y.,N.Y.,N.Y.,N.York,New York,36,state,364.615242,-90,347.29473399999995,-80.00000000000001
usa59,NY,N.Y.,N.Y.,N.Y.,N.York,New York,36,state,347.294734,-100,347.29473399999995,-80.00000000000001
usa59,NY,N.Y.,N.Y.,N.Y.,N.York,New York,36,state,329.974226,-90,347.29473399999995,-80.00000000000001
usa59,NY,N.Y.,N.Y.,N.Y.,N.York,New York,36,state,329.974226,-70,347.29473399999995,-80.00000000000001
usa59,NY,N.Y.,N.Y.,N.Y.,N.York,New York,36,state,347.294734,-60,347.29473399999995,-80.00000000000001
usa59,NC,N.C.,N.C.,N.C.,N.Car.,North Carolina,37,state,295.33321,-150,295.33321,-169.99999999999997
usa59,NC,N.C.,N.C.,N.C.,N.Car.,North Carolina,37,state,312.653718,-160,295.33321,-169.99999999999997
usa59,NC,N.C.,N.C.,N.C.,N.Car.,North Carolina,37,state,312.653718,-180,295.33321,-169.99999999999997
usa59,NC,N.C.,N.C.,N.C.,N.Car.,North Carolina,37,state,295.33321,-190,295.33321,-169.99999999999997
usa59,NC,N.C.,N.C.,N.C.,N.Car.,North Carolina,37,state,278.012702,-180,295.33321,-169.99999999999997
usa59,NC,N.C.,N.C.,N.C.,N.Car.,North Carolina,37,state,278.012702,-160,295.33321,-169.99999999999997
usa59,NC,N.C.,N.C.,N.C.,N.Car.,North Carolina,37,state,295.33321,-150,295.33321,-169.99999999999997
usa59,ND,N. Dak.,N.D.,N.D.,N.Dak.,North Dakota,38,state,139.448637,-60,139.44863700000002,-80
usa59,ND,N. Dak.,N.D.,N.D.,N.Dak.,North Dakota,38,state,156.769145,-70,139.44863700000002,-80
usa59,ND,N. Dak.,N.D.,N.D.,N.Dak.,North Dakota,38,state,156.769145,-90,139.44863700000002,-80
usa59,ND,N. Dak.,N.D.,N.D.,N.Dak.,North Dakota,38,state,139.448637,-100,139.44863700000002,-80
usa59,ND,N. Dak.,N.D.,N.D.,N.Dak.,North Dakota,38,state,122.128129,-90,139.44863700000002,-80
usa59,ND,N. Dak.,N.D.,N.D.,N.Dak.,North Dakota,38,state,122.128129,-70,139.44863700000002,-80
usa59,ND,N. Dak.,N.D.,N.D.,N.Dak.,North Dakota,38,state,139.448637,-60,139.44863700000002,-80
usa59,OH,Ohio,Ohio,Ohio,Ohio,Ohio,39,state,295.33321,-90,295.33321,-109.99999999999999
